Transit (row) / Origin (Column) ASN-ASNAME,99999-GT
2914-NTT America Inc.,0.23677
174-Cogent Communications,0.23124
1299-Telia Company AB,0.17291
262206-COMCEL GUATEMALA S.A.,0.08917
14754-Telgua,0.0509
12956-Telefonica International Wholesale S,0.04112
6453-TATA COMMUNICATIONS (AMERICA) INC,0.03862
23243-COMCEL GUATEMALA S.A.,0.0333
23520-Columbus Networks USA Inc.,0.03028
3356-Level 3 Communications Inc.,0.02632
701-MCI Communications Services Inc. d/b,0.02117
6458-Telgua,0.01822
52468-UFINET PANAMA S.A.,0.01596
52262-TelefÃ³nica Celular S.A,0.01537
6830-Liberty Global Operations B.V.,0.01306
6762-TELECOM ITALIA SPARKLE S.p.A.,0.01042
2647-Societe Internationale de Telecommun,0.00901
5511-Orange S.A.,0.00758
3491-PCCW Global Inc.,0.00668
6461-Zayo Bandwidth,0.004
265684-INVERSIONES GRAJEDA ANDRADE S.A,0.00306
263218-INTERNET TELECOMUNICATION COMPANY DE,0.00281
22869-CABLECOLOR S.A.,0.00233
206610-Pindo S.a.,0.0022
28513-Uninet S.A. de C.V.,0.00217
13682-TELEFONICA MOVILES GUATEMALA S.A.,0.00204
52286-Columbus Networks Guatemala,0.00167
6939-Hurricane Electric Inc.,0.00131
2828-MCI Communications Services Inc. d/b,0.00072
27884-CABLECOLOR S.A.,0.00071
3257-GTT Communications Inc.,0.00045
267715-unknown,0.00044
12180-Internap Network Services Corporatio,0.00034
62-CyrusOne LLC,0.00028
28087-COMNETS.A.,0.00028
262215-ITELKOM,0.00028
16657-Fibertech Networks LLC,0.00028
10269-Belize Telemedia Limited,0.00028
27729-Globalnet.hn,0.00023
12182-Internap Network Services Corporatio,0.00017
58057-TeleMontazh Ltd.,0.00015
3303-Swisscom (Switzerland) Ltd,0.00015
52320-GlobeNet Cabos Submarinos Colombia S,0.00013
16735-ALGAR TELECOM S/A,0.00013
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00012
46887-Lightower Fiber Networks (LIGHT-141),0.00012
30781-Jaguar Network SAS,0.0001
99999-GT,0.0
8758-Iway AG,0.0
7843-Time Warner Cable Internet LLC,0.0
7660-Asia Pacific Advanced Network - Japa,0.0
6130-American Internet Services LLC.,0.0
37468-Angola Cables,0.0
3320-Deutsche Telekom AG,0.0
262589-INTERNEXA Brasil Operadora de Teleco,0.0
22388-Indiana University,0.0
198385-AlpineDC SA,0.0
18881-TELEFÃNICA BRASIL S.A,0.0
15412-Reliance Globalcom Limited,0.0
11164-Internet2,0.0
10429-Telefonica Data S.A.,0.0
264637-Blue Consulting Group S. A.,9e-05
263761-Broadcom Group S.A,9e-05
27750-CooperaciÃ³n Latino Americana de R,8e-05
3223-Voxility S.R.L.,7e-05
286-KPN B.V.,7e-05
9002-RETN Limited,6e-05
29075-Lost Oasis SARL,6e-05
2516-KDDI CORPORATION,6e-05
19835-Rogers Communications Canada Inc.,6e-05
4230-CLARO S.A.,5e-05
24961-myLoc managed IT AG,5e-05
12389-PJSC Rostelecom,5e-05
7922-Comcast Cable Communications LLC,4e-05
2497-Internet Initiative Japan Inc.,4e-05
21320-GEANT Limited,4e-05
1916-AssociaÃ§Ã£o Rede Nacional de En,4e-05
36086-Telx,3e-05
23498-COGECODATA,3e-05
1836-green.ch AG,3e-05
12179-Internap Network Services Corporatio,3e-05
8732-OJSC Comcor,2e-05
8447-A1 Telekom Austria AG,2e-05
6661-POST Luxembourg,2e-05
59689-Keyade SAS,2e-05
4637-Telstra Global - Customer AS Number,2e-05
35280-ACORUS NETWORKS SAS,2e-05
3216-PJSC "Vimpelcom",2e-05
20965-GEANT Limited,2e-05
20764-CJSC RASCOM,2e-05
18747-IFX Corporation,2e-05
13030-Init7 (Switzerland) Ltd.,2e-05
7992-Cogeco Cable,1e-05
35788-Forcepoint Cloud Ltd,1e-05
3549-Level 3 Communications Inc.,1e-05
2603-NORDUnet,1e-05
18678-INTERNEXA S.A. E.S.P,1e-05
13768-ASE,1e-05
1273-Vodafone Group PLC,1e-05
11537-Internet2,1e-05
10796-Time Warner Cable Internet LLC,1e-05
