asn,cti,hegemony
703-MCI Communications Services Inc. d/b,0.00188,0.00161722776785
2914-NTT America Inc.,0.03153,0.0207908982071
9505-Data Communication Business Group,3e-05,0.0
60299-Mezhdugorodnyaya Mezhdunarodnaya Tel,0.00223,0.000657712998059
3216-PJSC "Vimpelcom",0.0001,4.57488980749e-05
19835-Rogers Communications Canada Inc.,0.00019,2.67809591212e-06
6939-Hurricane Electric Inc.,0.02449,0.0659766172376
42705-Talia Limited,0.00047,0.0
61218-FM GROUP WORLD Artur Trawinski Sp.zo,0.00039,0.000425622360118
11164-Internet2,2e-05,0.0
24753-Globecomm Europe B.V.,0.03387,0.0261658849837
22351-INTELSAT GLOBAL SERVICE CORPORATION,0.00972,0.00575148675771
8758-Iway AG,5e-05,0.0
198385-AlpineDC SA,5e-05,0.0
12389-PJSC Rostelecom,0.00017,4.35304302642e-05
20562-Broadband Hosting B.V,0.00221,0.0013139418954
7545-TPG Telecom Limited,1e-05,8.62780922278e-06
41798-JSC Transtelecom,0.00069,0.00303846908007
3549-Level 3 Communications Inc.,0.00128,0.00109047939538
2516-KDDI CORPORATION,0.00134,0.0
4657-Singapore Government Network AS,0.003,0.00111219660862
51346-Opened Joint Stock Company "Tojiktel,0.00104,0.00303846908007
4230-CLARO S.A.,0.00068,0.000218580028279
210222-unknown,0.0,0.0
58470-PMCL /LDI IP TRANSIT,0.00094,0.00117491717844
4913-Harris CapRock Communications Inc.,0.00092,0.00383869284816
9822-Vocus Communications,0.00047,0.0020669884567
37468-Angola Cables,8e-05,0.000133924714257
55330-AFGHANTELECOM GOVERNMENT COMMUNICATI,0.2149,0.178874425059
8218-Zayo France SAS,3e-05,0.0
1399999-unknown,0.0,0.0
38056-Globecomm Network Services Corp Tran,0.00096,1.96140203337e-05
20764-CJSC RASCOM,0.00169,0.000295675136076
6777-Amsterdam Internet Exchange B.V.,2e-05,0.0
58453-Level 30 Tower 1,0.00113,0.000277555770976
60725-O3b Sales BV,0.00096,0.00015980309511
577-Bell Canada,0.0001,1.52295997377e-06
20485-Closed Joint Stock Company TransTele,0.00718,0.00273060903068
5580-Hibernia Networks (Netherlands) BV,6e-05,1.38582648776e-07
39356-Avanti Broadband Ltd,0.00093,0.00237539625818
6762-TELECOM ITALIA SPARKLE S.p.A.,0.09942,0.0870269394719
3491-PCCW Global Inc.,0.00584,0.00487953632844
12989-StackPath LLC,0.00016,5.91457866313e-06
4862-Orange Business,0.01542,0.00215947425174
48159-Telecommunication Infrastructure Com,0.01569,0.0192457824725
8966-Emirates Telecommunications Corporat,0.03192,0.0238589804833
58057-TeleMontazh Ltd.,0.00049,0.000437122508085
3257-GTT Communications Inc.,0.00359,0.00976052592235
27065-DoD Network Information Center,0.01524,0.0071918074557
27067-DoD Network Information Center,0.03048,0.00714614518614
47973-Digital Realty Netherlands B.V.,0.00043,0.0
39533-Asympto Networks Kft.,0.00016,0.000203021466758
15412-Reliance Globalcom Limited,0.00038,0.000298400993218
135376-Connect Telecom ISP Afghanistan,0.00094,0.000697663047566
138322-unknown,0.07121,0.0439684263751
